Metropolitan Statistical Areas,2021 Dollars,2022 Dollars,2023 Dollars,US Rank 2023
"Farmington, NM","42,947","44,161","46,055",371
"Fayetteville, NC","45,121","45,803","47,602",358
"Fayetteville-Springdale-Rogers, AR","77,159","85,237","89,095",16
"Flagstaff, AZ","58,092","58,396","62,002",145
"Flint, MI","48,331","48,700","52,520",291
"Florence, SC","50,193","50,975","53,326",280
"Florence-Muscle Shoals, AL","44,559","44,899","47,156",362
"Fond du Lac, WI","56,767","58,178","60,018",175
"Fort Collins, CO","64,885","67,788","71,359",60
"Fort Smith, AR-OK","45,348","45,780","47,206",360
"Fort Wayne, IN","56,034","58,206","60,361",165
"Fresno, CA","51,977","50,440","52,728",287
"Gadsden, AL","42,777","43,196","45,062",373
"Gainesville, FL","50,186","50,847","54,166",262
"Gainesville, GA","55,114","57,126","60,036",173
"Gettysburg, PA","55,416","56,506","58,880",189
"Glens Falls, NY","55,002","55,799","59,040",187
"Goldsboro, NC","49,199","49,441","50,748",320
"Grand Forks, ND-MN","58,992","61,337","62,364",138
"Grand Island, NE","54,217","56,736","60,508",161
"Grand Junction, CO","52,891","55,220","57,653",208
"Grand Rapids-Kentwood, MI","61,100","62,288","65,239",107
"Grants Pass, OR","52,513","51,561","55,038",251
"Great Falls, MT","54,912","57,157","60,126",171
"Greeley, CO","56,330","59,270","62,532",135
"Green Bay, WI","59,613","60,880","63,575",125
"Greensboro-High Point, NC","51,874","53,734","56,030",240
"Greenville, NC","52,984","54,090","56,956",221
"Greenville-Anderson, SC","51,744","53,156","55,747",245
"Gulfport-Biloxi, MS","45,852","45,479","48,268",348
"Hagerstown-Martinsburg, MD-WV","51,811","52,195","55,041",250
"Hammond, LA","47,871","47,688","50,875",319
"Hanford-Corcoran, CA","43,867","42,565","43,994",379
"Harrisburg-Carlisle, PA","60,447","61,224","64,066",118
"Harrisonburg, VA","48,241","51,204","51,573",303
"Hartford-East Hartford-Middletown, CT","69,688","71,684","75,241",43
"Hattiesburg, MS","45,351","45,690","47,876",354
"Hickory-Lenoir-Morganton, NC","48,835","50,195","52,213",297
"Hilton Head Island-Bluffton, SC","67,583","71,058","75,647",41
"Hinesville, GA","40,817","39,944","41,210",382
"Homosassa Springs, FL","45,422","44,901","47,178",361
"Hot Springs, AR","48,218","49,641","52,506",293
"Houma-Thibodaux, LA","50,045","51,635","55,657",246
"Houston-The Woodlands-Sugar Land, TX","65,196","68,808","72,453",54
"Huntington-Ashland, WV-KY-OH","47,477","48,290","51,286",311
"Huntsville, AL","58,950","60,687","64,089",117
"Idaho Falls, ID","59,318","55,449","57,483",212
"Indianapolis-Carmel-Anderson, IN","67,119","69,545","72,494",53
"Iowa City, IA","62,267","63,673","65,563",104
"Ithaca, NY","50,211","51,589","54,159",263
"Jackson, MI","47,084","46,541","48,818",341
"Jackson, MS","53,345","54,710","58,104",197
"Jackson, TN","49,363","49,283","52,273",296
"Jacksonville, FL","60,264","62,107","65,324",105
"Jacksonville, NC","51,268","51,772","53,594",276
"Janesville-Beloit, WI","52,003","53,827","56,319",233
"Jefferson City, MO","51,013","53,320","56,862",223
"Johnson City, TN","48,683","48,918","51,590",302
"Johnstown, PA","48,712","48,018","50,932",316
"Jonesboro, AR","46,337","47,213","49,153",338
"Joplin, MO","44,135","45,881","47,609",357
"Kahului-Wailuku-Lahaina, HI","59,914","60,502","62,816",131
"Kalamazoo-Portage, MI","59,196","60,902","63,668",124
"Kankakee, IL","51,544","51,228","53,698",274
"Kansas City, MO-KS","61,022","66,272","69,865",70
"Kennewick-Richland, WA","52,209","51,822","54,152",264
"Killeen-Temple, TX","48,293","47,597","50,292",326
"Kingsport-Bristol, TN-VA","47,491","48,387","50,922",317
"Kingston, NY","61,076","62,723","66,314",97
"Knoxville, TN","57,581","58,941","62,167",140
"Kokomo, IN","47,533","47,992","50,368",325
"La Crosse-Onalaska, WI-MN","59,539","59,708","62,497",136
"Lafayette, LA","53,637","54,890","57,906",201
"Lafayette-West Lafayette, IN","47,479","48,480","51,180",313
"Lake Charles, LA","51,761","52,747","54,391",259
"Lake Havasu City-Kingman, AZ","42,978","43,657","46,777",364
"Lakeland-Winter Haven, FL","43,780","43,103","44,430",375
"Lancaster, PA","61,287","64,355","66,876",91
"Lansing-East Lansing, MI","51,789","51,152","53,806",269
"Laredo, TX","41,029","40,674","42,757",380
"Las Cruces, NM","45,696","46,226","47,712",355
"Las Vegas-Henderson-Paradise, NV","58,224","60,083","63,767",122
"Lawrence, KS","52,025","53,670","56,846",225
"Lawton, OK","48,328","48,545","51,510",304
"Lebanon, PA","56,065","56,954","58,851",190
"Lewiston, ID-WA","52,966","53,944","56,797",227
"Lewiston-Auburn, ME","48,420","51,087","53,731",271
"Lexington-Fayette, KY","58,031","59,690","63,021",129
"Lima, OH","50,199","50,956","54,010",265
"Lincoln, NE","59,451","62,366","66,373",95
"Little Rock-North Little Rock-Conway, AR","55,386","56,399","59,463",181
"Logan, UT-ID","48,864","48,563","50,139",329
"Longview, TX","49,561","50,944","53,386",279
"Longview, WA","54,090","55,235","57,947",200
"Los Angeles-Long Beach-Anaheim, CA","75,332","76,760","80,898",24
"Louisville/Jefferson County, KY-IN","60,470","61,964","65,205",108
"Lubbock, TX","51,366","52,013","54,524",257
"Lynchburg, VA","47,551","48,695","51,243",312
"Macon-Bibb County, GA","47,422","46,970","48,529",345
"Madera, CA","47,871","45,181","46,709",367
"Madison, WI","70,480","71,900","75,862",40
"Manchester-Nashua, NH","74,634","72,592","76,187",39
"Manhattan, KS","51,890","53,251","56,195",235
